State,Population,area,gdp_2021,gdp_2020,Cases_211201,Deaths_211201,geometry,centroid
California,"39,512,223",423967,3290170,3189703,4961159,74791,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))",POINT (-119.6405439237946 37.25514435831244)
Texas,"28,995,881",695662,1950359,1818394,4339280,74332,"POLYGON ((-93.578236 31.216131, -93.48984400000001 31.079602, -93.586168 30.71394, -93.650195 30.605471, -93.737503 30.366803, -93.664484 30.30014, -93.66712 30.100644, -93.816878 29.968352, -93.918474 29.821772, -93.84842 29.71363, -94.690003 29.479932, -95.60017999999999 28.738556, -96.593943 28.307291, -97.140034 27.829981, -97.370227 27.38019, -97.379761 26.690154, -97.330023 26.210209, -97.140034 25.869946, -97.530036 25.839793, -98.240174 26.059934, -99.020178 26.370019, -99.30010900000001 26.839912, -99.520225 27.539999, -100.110266 28.109912, -100.455801 28.696233, -100.95745 29.380972, -101.66229 29.779423, -102.479863 29.759863, -103.110109 28.969808, -103.939826 29.269842, -104.456823 29.571994, -104.705541 30.121805, -105.03733 30.644099, -105.631583 31.083839, -106.142766 31.399737, -106.507344 31.754289, -106.619533 31.914099, -106.630127 31.999287, -105.730001 31.999287, -103.929775 31.999287, -103.001614 31.999287, -103.001614 33.879948, -103.001614 36.499323, -102.001495 36.499323, -101.000832 36.499323, -100.000195 36.499323, -100.000195 35.519848, -100.000195 34.565229, -99.761528 34.457794, -99.59908299999999 34.3763, -99.33607600000001 34.442963, -99.187403 34.235559, -98.851893 34.164633, -98.553979 34.110657, -98.088323 34.13448, -97.95708999999999 33.893694, -97.657031 33.993713, -97.376583 33.838142, -97.104067 33.773598, -96.947953 33.918059, -96.796618 33.751351, -96.462711 33.805327, -96.316131 33.756131, -96.148906 33.797937, -95.977469 33.879431, -95.769498 33.881007, -95.41812400000001 33.870414, -95.190592 33.938161, -94.910144 33.831785, -94.479912 33.635983, -94.427538 33.57038, -94.233338 33.583609, -94.00208600000001 33.579914, -94.059757 33.01212, -93.998908 31.94265, -93.834861 31.829944, -93.779309 31.675431, -93.69412 31.443662, -93.578236 31.216131))",POINT (-99.32867556863557 31.45550826447538)
Florida,"21,477,737",170312,1198913,1121367,3740726,61539,"POLYGON ((-80.056539 26.88, -80.088015 26.205765, -80.13155999999999 25.816775, -80.38103 25.20616, -80.679799 25.079916, -81.171913 25.201098, -81.33012100000001 25.639753, -81.710072 25.869946, -82.23978099999999 26.729842, -82.70515 27.49504, -82.85526 27.88624, -82.649885 28.55017, -82.93000000000001 29.1, -83.70959000000001 29.93656, -84.099797 30.09005, -85.10881999999999 29.63615, -85.28784 29.68612, -85.7731 30.15261, -86.40007 30.40016, -87.530388 30.274199, -87.457886 30.411271, -87.40496899999999 30.608649, -87.633043 30.851528, -87.617153 30.927725, -87.045663 30.984879, -85.00519300000001 30.990693, -84.85331600000001 30.721355, -83.8479 30.675311, -82.226009 30.525553, -82.151931 30.350938, -82.022817 30.440364, -82.020156 30.788018, -81.899517 30.821892, -81.70159700000001 30.74833, -81.49047299999999 30.72983, -81.31371 30.03552, -80.979832 29.179899, -80.535585 28.47213, -80.53004 28.040072, -80.056539 26.88))",POINT (-82.50257401791897 28.61692813391335)
New York,"19,453,561",141297,1868224,1778240,2819549,58143,"POLYGON ((-74.679028 41.355486, -74.840439 41.426386, -75.01081600000001 41.49571, -75.07538599999999 41.641231, -75.048928 41.751302, -75.16799 41.841787, -75.385471 41.998961, -76.743837 42.000537, -78.200648 42.000021, -79.760087 42.000021, -79.760087 42.500068, -79.773257 42.546894, -78.939362 42.863611, -78.919777 42.965207, -79.01000000000001 43.27, -79.171674 43.466339, -79.00233 43.527188, -78.845699 43.583283, -78.72028 43.625089, -76.82003400000001 43.628784, -76.69676 43.784899, -76.586147 43.924063, -76.5 44.018459, -76.375 44.09631, -75.318265 44.816231, -74.86689800000001 45.00038, -73.347662 45.007253, -73.368281 44.804604, -73.40796899999999 44.676007, -73.38417200000001 44.379152, -73.32913600000001 44.226732, -73.42967299999999 44.019846, -73.338128 43.75844, -73.40163800000001 43.613436, -73.383112 43.575351, -73.23971 43.567935, -73.282033 42.743489, -73.49793699999999 42.054513, -73.553489 41.289857, -73.475174 41.204669, -73.69268 41.10731, -73.65668700000001 40.98507, -73.647887 40.954769, -73.70999999999999 40.931102, -72.24116600000001 41.11948, -71.944828 40.930034, -73.345001 40.630001, -73.98211999999999 40.627882, -73.952325 40.75075, -73.912796 40.960187, -74.679028 41.355486))",POINT (-75.66005885671201 42.96358711438567)
Illinois,"12,671,821",149995,938216,884447,1815994,29432,"POLYGON ((-90.640818 42.505364, -89.620054 42.505364, -88.57655200000001 42.503246, -87.80659900000001 42.494254, -87.80659900000001 42.49689, -87.48964100000001 42.495313, -87.03930699999999 42.492652, -87.084808 42.309562, -87.130335 42.127015, -87.175836 41.9439, -87.22133700000001 41.760836, -87.371638 41.760836, -87.520854 41.760836, -87.521371 41.708436, -87.526151 41.708436, -87.52721 40.550083, -87.52826899999999 39.392273, -87.64203500000001 39.113944, -87.559999 39.040382, -87.507082 38.869462, -87.51504 38.735052, -87.598653 38.674203, -87.67112899999999 38.50858, -87.878558 38.290557, -88.01880800000001 38.021736, -88.05108 37.819604, -88.044207 37.744983, -88.15743000000001 37.605819, -88.071725 37.511612, -88.247399 37.438594, -88.473871 37.354981, -88.435242 37.136442, -88.566475 37.053888, -88.807778 37.146493, -89.07396300000001 37.200469, -89.141685 37.103627, -89.10305700000001 36.952293, -89.280333 37.107348, -89.388285 37.081406, -89.516339 37.326921, -89.479287 37.477222, -89.55390800000001 37.719042, -89.65498700000001 37.748678, -89.916909 37.968277, -90.030158 37.971998, -90.22807899999999 38.113281, -90.369879 38.263556, -90.305335 38.439256, -90.21273100000001 38.584777, -90.156094 38.769443, -90.346599 38.930311, -90.535528 38.865768, -90.64981 38.907548, -90.665701 39.074773, -90.749287 39.265278, -90.841375 39.310779, -91.071567 39.44519, -91.26258900000001 39.61505, -91.428212 39.820903, -91.51763800000001 40.119877, -91.430331 40.368596, -91.410229 40.551143, -91.15412000000001 40.699842, -91.08743200000001 40.851719, -90.95674200000001 41.024757, -90.999065 41.179812, -91.123425 41.257585, -91.03399899999999 41.429565, -90.690557 41.478786, -90.461966 41.536457, -90.395278 41.608417, -90.21007 41.834914, -90.15663600000001 42.103735, -90.25980800000001 42.189983, -90.416982 42.270418, -90.464602 42.37837, -90.582605 42.429168, -90.640818 42.505364))",POINT (-89.15446500958745 40.11917996510999)
Pennsylvania,"12,801,989",119280,832704,808937,1744526,33521,"POLYGON ((-74.89175400000001 40.081791, -75.12882 39.9495, -75.200805 39.887049, -75.405573 39.795504, -75.62096 39.847361, -75.710903 39.802377, -75.78764200000001 39.723545, -76.668183 39.720883, -77.52329899999999 39.725663, -78.232919 39.7214, -78.549903 39.719824, -79.477521 39.720883, -80.51893 39.720883, -80.51893 40.641111, -80.516268 42.324394, -80.516268 42.32491, -80.24744800000001 42.3662, -79.772638 42.546275, -79.760087 42.500068, -79.760087 42.000021, -78.200648 42.000021, -76.743837 42.000537, -75.385471 41.998961, -75.16799 41.841787, -75.048928 41.751302, -75.07538599999999 41.641231, -75.01081600000001 41.49571, -74.840439 41.426386, -74.679028 41.355486, -74.80126799999999 41.311561, -74.975909 41.087725, -75.135718 40.999875, -75.08225899999999 40.869702, -75.199203 40.747461, -75.203957 40.586619, -75.095488 40.55538, -75.078022 40.449547, -74.763183 40.190777, -74.89175400000001 40.081791))",POINT (-77.8470755631246 40.8986465471239)
Ohio,"11,689,100",116098,732117,696274,1699161,26587,"POLYGON ((-82.210661 38.57948, -82.340834 38.440832, -82.58901 38.415433, -82.775278 38.511216, -82.85519499999999 38.65144, -83.044641 38.634515, -83.258943 38.57948, -83.434617 38.637151, -83.672742 38.609117, -83.82673800000001 38.690068, -84.038948 38.760994, -84.30459 38.986923, -84.481324 39.083248, -84.82368 39.106528, -84.817866 39.799742, -84.809934 40.77286, -84.80675599999999 41.677741, -84.295056 41.685156, -83.839967 41.685156, -83.462678 41.694148, -83.142 41.975681, -83.121898 41.949739, -83.02981 41.832796, -82.86630599999999 41.752878, -82.690089 41.675105, -82.439278 41.675105, -82.213323 41.77882, -81.974138 41.88889, -81.76087 41.986791, -81.507397 42.103735, -81.27774700000001 42.209026, -81.027969 42.247137, -80.682434 42.299511, -80.520506 42.324394, -80.516268 42.32491, -80.516268 42.324394, -80.51893 40.641111, -80.657552 40.59083, -80.615229 40.463835, -80.661789 40.233643, -80.764987 39.973297, -80.861829 39.757393, -80.878753 39.654221, -81.150752 39.426147, -81.266094 39.377442, -81.40104700000001 39.349407, -81.522228 39.371628, -81.74500500000001 39.199649, -81.785752 39.019221, -81.816964 38.921836, -81.905874 38.882149, -81.91856 38.993796, -82.05403 39.018161, -82.19479699999999 38.801198, -82.210661 38.57948))",POINT (-82.71025736850643 40.40520595663647)
Georgia,"10,617,423",153910,673072,631346,1666110,30571,"POLYGON ((-80.86500700000001 32.033161, -81.33629000000001 31.44049, -81.49047299999999 30.72983, -81.70159700000001 30.74833, -81.899517 30.821892, -82.020156 30.788018, -82.022817 30.440364, -82.151931 30.350938, -82.226009 30.525553, -83.8479 30.675311, -84.85331600000001 30.721355, -85.00519300000001 30.990693, -85.05441500000001 31.108696, -85.11790000000001 31.236233, -85.09038200000001 31.40028, -85.06552600000001 31.577013, -85.119502 31.7654, -85.063924 32.083417, -84.898843 32.259117, -84.98615100000001 32.437969, -85.129553 32.750714, -85.365559 33.744478, -85.625388 34.985901, -84.854376 34.976909, -84.320972 34.98696, -83.07637099999999 34.979028, -83.185925 34.895958, -83.346251 34.706512, -83.07637099999999 34.540347, -82.902815 34.479498, -82.716548 34.163057, -82.59748500000001 33.985781, -82.249289 33.748716, -82.180508 33.624356, -81.943442 33.461369, -81.827015 33.223244, -81.507397 33.021628, -81.435954 32.793037, -81.376707 32.68245, -81.411098 32.608888, -81.22483 32.49936, -81.126412 32.312033, -81.127988 32.121528, -81.03644300000001 32.084476, -80.86500700000001 32.033161))",POINT (-83.45109298528237 32.65246872706671)
North Carolina,"10,488,084",139391,646207,600631,1537044,18776,"POLYGON ((-75.868077 36.55118, -75.72731 35.550518, -76.36337 34.808625, -77.39763499999999 34.51201, -78.05495999999999 33.92547, -78.554114 33.861422, -79.67278 34.807566, -80.783513 34.817643, -80.780852 34.934044, -80.937483 35.103387, -81.03802 35.037242, -81.04597800000001 35.125608, -81.51427 35.171652, -82.436616 35.180101, -82.976377 35.008664, -83.07637099999999 34.979028, -84.320972 34.98696, -84.298751 35.198627, -84.087084 35.261595, -84.01776 35.369004, -83.87596000000001 35.490211, -83.67328500000001 35.51667, -83.438338 35.562687, -83.209722 35.648961, -83.110787 35.737328, -82.920282 35.81722, -82.925579 35.889722, -82.67422500000001 36.025192, -82.593248 35.937342, -82.22389 36.125728, -82.051394 36.106143, -81.89739899999999 36.27391, -81.693664 36.317293, -81.704775 36.460152, -81.679376 36.585571, -79.99239900000001 36.542188, -77.999549 36.537434, -76.941215 36.545883, -75.868077 36.55118))",POINT (-79.25209114426171 35.53593138400261)
Michigan,"9,986,857",250487,559479,535153,1494953,25798,"POLYGON ((-90.395278 46.611677, -90.35559000000001 46.673069, -90.298979 46.760919, -90.24182500000001 46.848226, -90.185213 46.936076, -90.12805899999999 47.0239, -90.071448 47.11175, -90.01481 47.1996, -89.957656 47.286907, -89.842831 47.464726, -89.72800599999999 47.641976, -89.613698 47.819252, -89.522695 47.960535, -89.488885 48.015263, -89.27291700000001 48.019808, -89.18561 48.047326, -88.378114 48.302918, -87.49439599999999 47.961595, -87.208108 47.848372, -86.921846 47.735123, -86.672068 47.636162, -86.495335 47.566838, -86.428647 47.539838, -86.234447 47.459946, -86.04024699999999 47.380054, -85.846563 47.300136, -85.65236299999999 47.220219, -85.458163 47.13981, -85.263963 47.059893, -85.07028 46.980001, -84.87608 46.900083, -84.826858 46.766732, -84.77923800000001 46.637102, -84.54374900000001 46.538684, -84.543232 46.538684, -84.6049 46.4396, -84.33669999999999 46.40877, -84.14212000000001 46.512226, -84.12837399999999 46.483649, -84.115144 46.370917, -84.09185100000001 46.275419, -83.890765 46.116927, -83.763228 46.108969, -83.669048 46.122741, -83.616131 46.116927, -83.469551 45.994686, -83.592851 45.816894, -83.397049 45.729044, -83.179052 45.632719, -82.919223 45.51792, -82.760473 45.44751, -82.55092500000001 45.347517, -82.515475 45.204114, -82.48529600000001 45.083993, -82.44666700000001 44.915708, -82.407523 44.743729, -82.368352 44.572809, -82.32654599999999 44.391296, -82.28104399999999 44.192342, -82.24084000000001 44.015608, -82.19637299999999 43.822442, -82.137642 43.571088, -82.19055899999999 43.474272, -82.41703099999999 43.017607, -82.429743 42.980038, -82.90018000000001 42.430227, -83.11977899999999 42.079912, -83.128771 42.068802, -83.142 41.975681, -83.462678 41.694148, -83.839967 41.685156, -84.295056 41.685156, -84.80675599999999 41.677741, -84.807299 41.756056, -85.74814600000001 41.751302, -86.824462 41.756056, -86.824462 41.760836, -86.918126 41.760836, -87.22133700000001 41.760836, -87.175836 41.9439, -87.130335 42.127015, -87.084808 42.309562, -87.03930699999999 42.492652, -87.079537 42.782118, -87.113928 43.030294, -87.155191 43.326632, -87.14514 43.571088, -87.14196200000001 43.657878, -87.083232 43.89019, -87.03243399999999 44.091288, -86.918668 44.361685, -86.822344 44.591335, -86.714934 44.84641, -86.53608199999999 45.04167, -86.401672 45.133214, -86.2646 45.226878, -86.48156299999999 45.323177, -86.774207 45.452291, -86.942465 45.452291, -87.115504 45.452291, -87.24461700000001 45.289846, -87.419775 45.184012, -87.459462 45.068128, -87.612915 45.110451, -87.613975 45.108875, -87.747326 45.226878, -87.673248 45.387747, -87.893389 45.396713, -87.847888 45.559183, -87.787013 45.639618, -87.875406 45.779842, -88.111929 45.843352, -88.16696399999999 46.007916, -88.361707 46.020628, -88.644274 46.022204, -89.22105999999999 46.202116, -90.096304 46.380994, -90.176738 46.560879, -90.333912 46.593694, -90.334971 46.596872, -90.39688 46.576253, -90.41062599999999 46.584185, -90.395278 46.611677))",POINT (-85.72971508307924 44.86521549038947)
Tennessee,"6,829,174",109153,411689,379454,1318572,17196,"POLYGON ((-81.679376 36.585571, -81.704775 36.460152, -81.693664 36.317293, -81.89739899999999 36.27391, -82.051394 36.106143, -82.22389 36.125728, -82.593248 35.937342, -82.67422500000001 36.025192, -82.925579 35.889722, -82.920282 35.81722, -83.110787 35.737328, -83.209722 35.648961, -83.438338 35.562687, -83.67328500000001 35.51667, -83.87596000000001 35.490211, -84.01776 35.369004, -84.087084 35.261595, -84.298751 35.198627, -84.320972 34.98696, -84.854376 34.976909, -85.625388 34.985901, -86.909677 34.99913, -88.16696399999999 34.999673, -89.263926 35.021351, -90.24924 35.020834, -90.13493200000001 35.113955, -90.147102 35.404997, -89.988894 35.536229, -89.950266 35.701878, -89.775109 35.799236, -89.673513 35.940003, -89.662919 36.023073, -89.585121 36.267011, -89.524272 36.409354, -89.498356 36.506196, -88.06960599999999 36.497204, -88.072784 36.654378, -87.874346 36.656497, -87.842049 36.61097, -87.216583 36.639004, -86.677882 36.633733, -86.09262099999999 36.625775, -85.519012 36.597741, -85.231149 36.60991, -84.35009100000001 36.567045, -83.67328500000001 36.599859, -82.186322 36.565985, -81.679376 36.585571))",POINT (-86.32269355037511 35.83900728935029)
Arizona,"7,278,717",295234,400156,377476,1272943,22350,"POLYGON ((-109.045225 36.999912, -109.043673 31.341899, -111.023786 31.334651, -113.305016 32.038975, -114.814743 32.525276, -114.72139 32.72083, -114.589848 32.716298, -114.479777 32.916337, -114.655993 33.0539, -114.691443 33.203684, -114.743301 33.379875, -114.548558 33.609525, -114.469183 34.067275, -114.165972 34.272585, -114.354901 34.464667, -114.484531 34.653053, -114.567084 34.82821, -114.62212 34.96368, -114.642222 35.053106, -114.580856 35.249425, -114.630052 35.445227, -114.650697 35.63891, -114.65018 35.854272, -114.739606 35.991318, -114.671341 36.114618, -114.460734 36.114618, -114.269169 36.043692, -114.13264 36.004004, -114.066495 36.156424, -114.023629 36.189755, -114.030528 36.994099, -112.417603 37.009421, -110.496221 37.007328, -109.045225 36.999912))",POINT (-111.6594636231518 34.29559516366692)
New Jersey,"8,882,190",22591,671483,641666,1255893,28409,"POLYGON ((-73.912796 40.960187, -73.952325 40.75075, -74.256754 40.47337, -73.96244 40.42763, -74.178438 39.709256, -74.906042 38.939303, -74.98066300000001 39.196497, -75.200262 39.248354, -75.52781299999999 39.498649, -75.554272 39.691247, -75.405573 39.795504, -75.200805 39.887049, -75.12882 39.9495, -74.89175400000001 40.081791, -74.763183 40.190777, -75.078022 40.449547, -75.095488 40.55538, -75.203957 40.586619, -75.199203 40.747461, -75.08225899999999 40.869702, -75.135718 40.999875, -74.975909 41.087725, -74.80126799999999 41.311561, -74.679028 41.355486, -73.912796 40.960187))",POINT (-74.67054382130129 40.20571097922734)
