Building,City,Country,Height,Floors,Year,Latitude,Longitude
Burj Khalifa,Dubai,United Arab Emirates,2717,163,2010,25.1970306,55.27422168
Shanghai Tower,Shanghai,China,2073,128,2015,31.23564615,121.5012662
Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,1971,120,2012,21.41932334,39.82669651
Ping An Finance Center,Shenzhen,China,1965,115,2017,22.53672395,114.0503551
Lotte World Tower,Seoul,South Korea,1819,123,2016,37.51110405,127.0982333
One World Trade Center,New York City,United States,1776,104,2014,40.7130186,-74.0131786
Guangzhou CTF Finance Center,Guangzhou,China,1739,111,2016,23.1205531,113.3208773
Tianjin CTF Finance Center,Tianjin,China,1739,98,2018,39.0213736,117.6984588
China Zun,Beijing,China,1732,108,2018,39.9114995,116.4602368
Taipei 101,Taipei,Taiwan,1667,101,2004,25.03368625,121.5648103
Shanghai World Financial Center,Shanghai,China,1614,101,2008,31.2365768,121.5030406
International Commerce Centre,Hong Kong,China,1588,118,2010,22.3033716,114.1602165
Central Park Tower,New York City,United States,1550,98,2020,40.76638955,-73.98099588
Lakhta Center,Saint Petersburg,Russia,1516,86,2018,59.9870313,30.17803392
Landmark 81,Ho Chi Minh City,Vietnam,1513,81,2018,42.09475458,-87.7666677
Changsha IFS Tower T1,Changsha,China,1483,88,2017,28.19213784,112.9769407
Petronas Tower 1,Kuala Lumpur,Malaysia,1483,88,1998,3.158431243,101.7119639
Petronas Tower 2,Kuala Lumpur,Malaysia,1483,88,1998,3.158856963,101.7129094
Zifeng Tower,Nanjing,China,1476,89,2010,32.062585,118.7780708
Suzhou IFS,Suzhou,China,1476,92,2017,31.32421315,120.7126266
The Exchange 106,Kuala Lumpur,Malaysia,1460,97,2018,3.1418405,101.7186969
Willis Tower,Chicago,United States,1450,108,1974,41.8788717,-87.63590894
KK100,Shenzhen,China,1449,100,2011,22.54562315,114.1015812
Guangzhou International Finance Center,Guangzhou,China,1440,103,2010,23.12025095,113.3178641
Wuhan Center,Wuhan,China,1437,88,2016,30.5966423,114.2396686
111 West 57th Street,New York City,United States,1428,82,2019,40.76476045,-73.97758143
One Vanderbilt,New York City,United States,1401,67,2020,40.7529641,-73.9785411
Dongguan International Trade Center 1,Dongguan,China,1401,88,2019,23.05937383,113.7256196
432 Park Avenue,New York City,United States,1396,88,2015,40.7616833,-73.97185835
Marina 101,Dubai,United Arab Emirates,1394,101,2015,25.0889713,55.14863254
Trump International Hotel and Tower,Chicago,United States,1388,98,2009,40.76914115,-73.98153974
Jin Mao Tower,Shanghai,China,1380,88,1999,31.2372501,121.5014197
Princess Tower,Dubai,United Arab Emirates,1358,101,2012,25.08857575,55.1468507
Al Hamra Tower,Kuwait City,Kuwait,1354,80,2011,29.37934075,47.9930928
International Finance Centre,Hong Kong,China,1352,88,2003,22.28541755,114.1589691
Haeundae LCT The Sharp Landmark Tower,Busan,South Korea,1352,101,2019,35.16053176,129.1683125
Nanning China Resources Tower,Nanning,China,1321,85,2018,22.8116762,108.3464708
Guiyang Financial Center Tower 1,Guiyang,China,1316,79,2021,26.65307259,106.6257374
China Resources Headquarters,Shenzhen,China,1288,67,2017,22.53535173,114.056943
23 Marina,Dubai,United Arab Emirates,1287,89,2012,25.089743,55.15074495
CITIC Plaza,Guangzhou,China,1280,80,1996,23.14440625,113.3193735
Shum Yip Upperhills Tower 1,Shenzhen,China,1273,80,2017,22.5602043,114.0651186
30 Hudson Yards,New York City,United States,1268,73,2018,40.75399095,-74.00048785
Capital Market Authority Headquarters,Riyadh,Saudi Arabia,1263,77,2016,24.76380141,46.64166846
Shun Hing Square,Shenzhen,China,1260,69,1996,22.5453439,114.1055224
Eton Place Dalian Tower 1,Dalian,China,1257,81,2015,38.91670802,121.6307505
Logan Century Center 1,Nanning,China,1251,82,2017,23.36281425,116.7136714
Burj Mohammed bin Rashid,Abu Dhabi,United Arab Emirates,1251,88,2014,24.4881271,54.35713956
Empire State Building,New York City,United States,1250,102,1931,40.7484284,-73.98565462
Elite Residence,Dubai,United Arab Emirates,1248,87,2012,25.08951895,55.14789645
Shenzhen Center,Shenzhen,China,1232,80,2019,22.5391585,114.058662
Central Plaza,Hong Kong,China,1226,78,1992,22.28006495,114.1736441
Federation Tower (East Tower),Moscow,Russia,1226,95,2016,55.74990786,37.5371389
Dalian International Trade Center,Dalian,China,1214,86,2018,38.92079101,121.6377763
Address Boulevard,Dubai,United Arab Emirates,1214,72,2017,25.20089215,55.27616086
Haitian Center Tower 2,Qingdao,China,1211,72,2020,36.28707187,120.3909203
Golden Eagle Tiandi Tower A,Nanjing,China,1208,76,2018,32.07103592,118.7940162
Bank of China Tower,Hong Kong,China,1205,70,1990,22.2791838,114.1616074
Bank of America Tower,New York City,United States,1200,56,2009,40.7555436,-73.9846863
Vista Tower,Chicago,United States,1191,101,2019,51.90001795,-0.19916635
Almas Tower,Dubai,United Arab Emirates,1181,68,2009,25.06881175,55.14117104
Hanking Center,Shenzhen,China,1177,65,2017,22.28726855,114.1969011
Gevora Hotel,Dubai,United Arab Emirates,1169,75,2012,25.21236635,55.27716338
JW Marriott Marquis Dubai Tower 1,Dubai,United Arab Emirates,1166,82,2012,25.18566262,55.2580876
JW Marriott Marquis Dubai Tower 2,Dubai,United Arab Emirates,1166,82,2012,25.18566262,55.2580876
Emirates Office Tower,Dubai,United Arab Emirates,1163,54,2000,25.2176569,55.28237621
Raffles City Chongqing T3N,Chongqing,China,1163,79,2018,29.58649113,106.5128381
Raffles City Chongqing T4N,Chongqing,China,1163,79,2019,29.58649113,106.5128381
OKO Tower - South Tower,Moscow,Russia,1160,85,2015,55.75051296,37.5353083
The Marina Torch,Dubai,United Arab Emirates,1155,86,2011,25.087973,55.14746061
Forum 66 Tower 1,Shenyang,China,1150,68,2015,41.79918815,123.4280274
The Pinnacle,Guangzhou,China,1149,60,2012,51.5144595,-0.083008418
Xi An Glory International Financial Center,Xi'an,China,1148,75,2017,34.3543498,108.9410779